timestamp, memory.used [MiB]
2026/05/29 03:49:13.391, 2858 MiB
2026/05/29 03:49:14.391, 2858 MiB
2026/05/29 03:49:15.391, 2862 MiB
2026/05/29 03:49:16.392, 3305 MiB
2026/05/29 03:49:17.392, 3225 MiB
2026/05/29 03:49:18.392, 2860 MiB
2026/05/29 03:49:19.393, 2860 MiB
2026/05/29 03:49:20.393, 2864 MiB
2026/05/29 03:49:21.393, 2864 MiB
2026/05/29 03:49:22.394, 2864 MiB
2026/05/29 03:49:23.394, 2860 MiB
2026/05/29 03:49:24.394, 2860 MiB
2026/05/29 03:49:25.395, 2857 MiB
2026/05/29 03:49:26.395, 2866 MiB
2026/05/29 03:49:27.396, 2866 MiB
2026/05/29 03:49:28.396, 2861 MiB
2026/05/29 03:49:29.397, 2857 MiB
2026/05/29 03:49:30.397, 2857 MiB
2026/05/29 03:49:31.397, 2869 MiB
2026/05/29 03:49:32.397, 2869 MiB
2026/05/29 03:49:33.398, 2869 MiB
2026/05/29 03:49:34.398, 2860 MiB
2026/05/29 03:49:35.398, 2860 MiB
2026/05/29 03:49:36.399, 2864 MiB
2026/05/29 03:49:37.399, 2864 MiB
2026/05/29 03:49:38.400, 2864 MiB
2026/05/29 03:49:39.400, 2860 MiB
2026/05/29 03:49:40.400, 2860 MiB
2026/05/29 03:49:41.401, 2864 MiB
2026/05/29 03:49:42.401, 2864 MiB
2026/05/29 03:49:43.401, 2864 MiB
2026/05/29 03:49:44.402, 2860 MiB
2026/05/29 03:49:45.402, 2860 MiB
2026/05/29 03:49:46.402, 2864 MiB
2026/05/29 03:49:47.403, 2864 MiB
2026/05/29 03:49:48.403, 2864 MiB
2026/05/29 03:49:49.403, 2860 MiB
2026/05/29 03:49:50.404, 2860 MiB
2026/05/29 03:49:51.404, 2864 MiB
2026/05/29 03:49:52.404, 2864 MiB
2026/05/29 03:49:53.406, 2864 MiB
2026/05/29 03:49:54.406, 2860 MiB
2026/05/29 03:49:55.407, 2860 MiB
2026/05/29 03:49:56.408, 6225 MiB
2026/05/29 03:49:57.408, 6225 MiB
2026/05/29 03:49:58.408, 6225 MiB
2026/05/29 03:49:59.411, 2860 MiB
2026/05/29 03:50:00.411, 2860 MiB
2026/05/29 03:50:01.411, 2864 MiB
2026/05/29 03:50:02.412, 2864 MiB
2026/05/29 03:50:03.412, 2864 MiB
2026/05/29 03:50:04.413, 2860 MiB
2026/05/29 03:50:05.413, 2860 MiB
2026/05/29 03:50:06.413, 2864 MiB
2026/05/29 03:50:07.414, 2864 MiB
2026/05/29 03:50:08.414, 2864 MiB
2026/05/29 03:50:09.414, 2860 MiB
2026/05/29 03:50:10.415, 2860 MiB
2026/05/29 03:50:11.415, 2864 MiB
2026/05/29 03:50:12.415, 2864 MiB
2026/05/29 03:50:13.416, 2864 MiB
2026/05/29 03:50:14.416, 2860 MiB
2026/05/29 03:50:15.416, 2860 MiB
2026/05/29 03:50:16.417, 2860 MiB
2026/05/29 03:50:17.417, 2864 MiB
2026/05/29 03:50:18.417, 2864 MiB
2026/05/29 03:50:19.418, 2860 MiB
2026/05/29 03:50:20.418, 2860 MiB
2026/05/29 03:50:21.443, 2860 MiB
2026/05/29 03:50:22.446, 2864 MiB
2026/05/29 03:50:23.446, 2864 MiB
2026/05/29 03:50:24.447, 2860 MiB
2026/05/29 03:50:25.448, 2860 MiB
2026/05/29 03:50:26.448, 2860 MiB
2026/05/29 03:50:27.448, 2864 MiB
2026/05/29 03:50:28.450, 2864 MiB
2026/05/29 03:50:29.451, 2860 MiB
2026/05/29 03:50:30.452, 2860 MiB
2026/05/29 03:50:31.452, 2860 MiB
2026/05/29 03:50:32.452, 2864 MiB
2026/05/29 03:50:33.454, 2864 MiB
2026/05/29 03:50:34.454, 2860 MiB
2026/05/29 03:50:35.454, 2860 MiB
2026/05/29 03:50:36.455, 2860 MiB
2026/05/29 03:50:37.455, 6224 MiB
2026/05/29 03:50:38.455, 6224 MiB
2026/05/29 03:50:39.456, 6224 MiB
2026/05/29 03:50:40.456, 3360 MiB
2026/05/29 03:50:41.456, 2840 MiB
2026/05/29 03:50:42.457, 2844 MiB
